1777864605.532839 server started (26101): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1777864605.532857 on Linux 6.17.0-22-generic #22~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 26 15:25:54 UTC 2
1777864605.532862 using libevent 2.1.12-stable poll
1777864605.532865 using ncurses 6.4 20240113
1777864605.547025 args_parse: 2 = g (type STRING)
1777864605.547028 args_parse: 3 = command-prompt -p "(goto line)" { send-keys -X goto-line "%%" } (type COMMANDS)
1777864605.547032 cmd_parse_build_commands: bind-key -T copy-mode g { command-prompt -p "(goto line)" { send-keys -X goto-line "%%" } }
1777864605.547034 cmdq_get_command: [bind-key/0x5a432deceaa0] group 1511
1777864605.547035 cmdq_append <global>: [bind-key/0x5a432deceaa0]
1777864605.547037 yylex_token: end at WS
1777864605.547038 yylex_token: bind
1777864605.547039 yylex_token: end at WS
1777864605.547040 yylex_token: -Tcopy-mode
1777864605.547042 yylex_token: end at WS
1777864605.547043 yylex_token: n
1777864605.547044 yylex_token: end at WS
1777864605.547045 yylex_token: send
1777864605.547046 yylex_token: end at WS
1777864605.547047 yylex_token: -X
1777864605.547049 yylex_token: end at WS
1777864605.547050 yylex_token: search-again
1777864605.547051 cmd_parse_build_commands 0:0: bind
1777864605.547053 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547054 cmd_parse_build_commands 0:2: n
1777864605.547055 cmd_parse_build_commands 0:3 0:0: send
1777864605.547057 cmd_parse_build_commands 0:3 0:1: -X
1777864605.547058 cmd_parse_build_commands 0:3 0:2: search-again
1777864605.547060 cmd_parse_build_commands 0:0: send
1777864605.547061 cmd_parse_build_commands 0:1: -X
1777864605.547062 cmd_parse_build_commands 0:2: search-again
1777864605.547064 args_parse_flags: next -X
1777864605.547065 args_parse_flags: -X
1777864605.547067 args_parse_flags: next search-again
1777864605.547068 args_parse: flags end at 2 of 3
1777864605.547069 args_parse: 2 = search-again (type STRING)
1777864605.547071 cmd_parse_build_commands: send-keys -X search-again
1777864605.547073 args_parse_flags: next -Tcopy-mode
1777864605.547074 args_parse_flag_argument: -T = copy-mode
1777864605.547075 args_parse_flags: next n
1777864605.547076 args_parse: flags end at 2 of 4
1777864605.547077 args_parse: 2 = n (type STRING)
1777864605.547079 args_parse: 3 = send-keys -X search-again (type COMMANDS)
1777864605.547082 cmd_parse_build_commands: bind-key -T copy-mode n { send-keys -X search-again }
1777864605.547084 cmdq_get_command: [bind-key/0x5a432dece6a0] group 1523
1777864605.547086 cmdq_append <global>: [bind-key/0x5a432dece6a0]
1777864605.547087 yylex_token: end at WS
1777864605.547088 yylex_token: bind
1777864605.547089 yylex_token: end at WS
1777864605.547090 yylex_token: -Tcopy-mode
1777864605.547092 yylex_token: end at WS
1777864605.547093 yylex_token: q
1777864605.547094 yylex_token: end at WS
1777864605.547095 yylex_token: send
1777864605.547096 yylex_token: end at WS
1777864605.547097 yylex_token: -X
1777864605.547099 yylex_token: end at WS
1777864605.547100 yylex_token: cancel
1777864605.547101 cmd_parse_build_commands 0:0: bind
1777864605.547103 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547104 cmd_parse_build_commands 0:2: q
1777864605.547105 cmd_parse_build_commands 0:3 0:0: send
1777864605.547107 cmd_parse_build_commands 0:3 0:1: -X
1777864605.547108 cmd_parse_build_commands 0:3 0:2: cancel
1777864605.547109 cmd_parse_build_commands 0:0: send
1777864605.547111 cmd_parse_build_commands 0:1: -X
1777864605.547112 cmd_parse_build_commands 0:2: cancel
1777864605.547114 args_parse_flags: next -X
1777864605.547115 args_parse_flags: -X
1777864605.547116 args_parse_flags: next cancel
1777864605.547117 args_parse: flags end at 2 of 3
1777864605.547118 args_parse: 2 = cancel (type STRING)
1777864605.547120 cmd_parse_build_commands: send-keys -X cancel
1777864605.547122 args_parse_flags: next -Tcopy-mode
1777864605.547123 args_parse_flag_argument: -T = copy-mode
1777864605.547124 args_parse_flags: next q
1777864605.547125 args_parse: flags end at 2 of 4
1777864605.547126 args_parse: 2 = q (type STRING)
1777864605.547128 args_parse: 3 = send-keys -X cancel (type COMMANDS)
1777864605.547131 cmd_parse_build_commands: bind-key -T copy-mode q { send-keys -X cancel }
1777864605.547135 cmdq_get_command: [bind-key/0x5a432decf400] group 1531
1777864605.547136 cmdq_append <global>: [bind-key/0x5a432decf400]
1777864605.547139 yylex_token: end at WS
1777864605.547140 yylex_token: bind
1777864605.547142 yylex_token: end at WS
1777864605.547143 yylex_token: -Tcopy-mode
1777864605.547144 yylex_token: end at WS
1777864605.547145 yylex_token: r
1777864605.547146 yylex_token: end at WS
1777864605.547148 yylex_token: send
1777864605.547149 yylex_token: end at WS
1777864605.547150 yylex_token: -X
1777864605.547151 yylex_token: end at WS
1777864605.547152 yylex_token: refresh-from-pane
1777864605.547154 cmd_parse_build_commands 0:0: bind
1777864605.547155 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547157 cmd_parse_build_commands 0:2: r
1777864605.547158 cmd_parse_build_commands 0:3 0:0: send
1777864605.547159 cmd_parse_build_commands 0:3 0:1: -X
1777864605.547161 cmd_parse_build_commands 0:3 0:2: refresh-from-pane
1777864605.547162 cmd_parse_build_commands 0:0: send
1777864605.547163 cmd_parse_build_commands 0:1: -X
1777864605.547165 cmd_parse_build_commands 0:2: refresh-from-pane
1777864605.547167 args_parse_flags: next -X
1777864605.547168 args_parse_flags: -X
1777864605.547169 args_parse_flags: next refresh-from-pane
1777864605.547170 args_parse: flags end at 2 of 3
1777864605.547172 args_parse: 2 = refresh-from-pane (type STRING)
1777864605.547174 cmd_parse_build_commands: send-keys -X refresh-from-pane
1777864605.547175 args_parse_flags: next -Tcopy-mode
1777864605.547177 args_parse_flag_argument: -T = copy-mode
1777864605.547178 args_parse_flags: next r
1777864605.547179 args_parse: flags end at 2 of 4
1777864605.547180 args_parse: 2 = r (type STRING)
1777864605.547182 args_parse: 3 = send-keys -X refresh-from-pane (type COMMANDS)
1777864605.547185 cmd_parse_build_commands: bind-key -T copy-mode r { send-keys -X refresh-from-pane }
1777864605.547187 cmdq_get_command: [bind-key/0x5a432decf100] group 1539
1777864605.547189 cmdq_append <global>: [bind-key/0x5a432decf100]
1777864605.547190 yylex_token: end at WS
1777864605.547191 yylex_token: bind
1777864605.547192 yylex_token: end at WS
1777864605.547193 yylex_token: -Tcopy-mode
1777864605.547195 yylex_token: end at WS
1777864605.547196 yylex_token: t
1777864605.547197 yylex_token: end at WS
1777864605.547198 yylex_token: command-prompt
1777864605.547200 yylex_token: end at WS
1777864605.547201 yylex_token: -1p(jump to forward)
1777864605.547202 yylex_token: end at WS
1777864605.547203 yylex_token: send
1777864605.547204 yylex_token: end at WS
1777864605.547205 yylex_token: -X
1777864605.547207 yylex_token: end at WS
1777864605.547208 yylex_token: jump-to-forward
1777864605.547209 yylex_token: end at WS
1777864605.547210 yylex_token: %%
1777864605.547212 cmd_parse_build_commands 0:0: bind
1777864605.547213 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547214 cmd_parse_build_commands 0:2: t
1777864605.547216 cmd_parse_build_commands 0:3 0:0: command-prompt
1777864605.547217 cmd_parse_build_commands 0:3 0:1: -1p(jump to forward)
1777864605.547219 cmd_parse_build_commands 0:3 0:2 0:0: send
1777864605.547220 cmd_parse_build_commands 0:3 0:2 0:1: -X
1777864605.547221 cmd_parse_build_commands 0:3 0:2 0:2: jump-to-forward
1777864605.547223 cmd_parse_build_commands 0:3 0:2 0:3: %%
1777864605.547224 cmd_parse_build_commands 0:0: command-prompt
1777864605.547226 cmd_parse_build_commands 0:1: -1p(jump to forward)
1777864605.547227 cmd_parse_build_commands 0:2 0:0: send
1777864605.547228 cmd_parse_build_commands 0:2 0:1: -X
1777864605.547230 cmd_parse_build_commands 0:2 0:2: jump-to-forward
1777864605.547231 cmd_parse_build_commands 0:2 0:3: %%
1777864605.547232 cmd_parse_build_commands 0:0: send
1777864605.547234 cmd_parse_build_commands 0:1: -X
1777864605.547235 cmd_parse_build_commands 0:2: jump-to-forward
1777864605.547236 cmd_parse_build_commands 0:3: %%
1777864605.547238 args_parse_flags: next -X
1777864605.547239 args_parse_flags: -X
1777864605.547240 args_parse_flags: next jump-to-forward
1777864605.547244 args_parse: flags end at 2 of 4
1777864605.547245 args_parse: 2 = jump-to-forward (type STRING)
1777864605.547246 args_parse: 3 = %% (type STRING)
1777864605.547249 cmd_parse_build_commands: send-keys -X jump-to-forward "%%"
1777864605.547250 args_parse_flags: next -1p(jump to forward)
1777864605.547251 args_parse_flags: -1
1777864605.547253 args_parse_flag_argument: -p = (jump to forward)
1777864605.547254 args_parse: flags end at 2 of 3
1777864605.547256 args_parse: 2 = send-keys -X jump-to-forward "%%" (type COMMANDS)
1777864605.547259 cmd_parse_build_commands: command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" }
1777864605.547260 args_parse_flags: next -Tcopy-mode
1777864605.547262 args_parse_flag_argument: -T = copy-mode
1777864605.547263 args_parse_flags: next t
1777864605.547264 args_parse: flags end at 2 of 4
1777864605.547265 args_parse: 2 = t (type STRING)
1777864605.547268 args_parse: 3 = command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" } (type COMMANDS)
1777864605.547272 cmd_parse_build_commands: bind-key -T copy-mode t { command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" } }
1777864605.547274 cmdq_get_command: [bind-key/0x5a432ded0830] group 1547
1777864605.547275 cmdq_append <global>: [bind-key/0x5a432ded0830]
1777864605.547283 yylex_token: end at WS
1777864605.547285 yylex_token: bind
1777864605.547286 yylex_token: end at WS
1777864605.547287 yylex_token: -Tcopy-mode
1777864605.547288 yylex_token: end at WS
1777864605.547290 yylex_token: Home
1777864605.547291 yylex_token: end at WS
1777864605.547292 yylex_token: send
1777864605.547293 yylex_token: end at WS
1777864605.547294 yylex_token: -X
1777864605.547295 yylex_token: end at WS
1777864605.547297 yylex_token: start-of-line
1777864605.547298 cmd_parse_build_commands 0:0: bind
1777864605.547300 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547301 cmd_parse_build_commands 0:2: Home
1777864605.547302 cmd_parse_build_commands 0:3 0:0: send
1777864605.547303 cmd_parse_build_commands 0:3 0:1: -X
1777864605.547305 cmd_parse_build_commands 0:3 0:2: start-of-line
1777864605.547306 cmd_parse_build_commands 0:0: send
1777864605.547308 cmd_parse_build_commands 0:1: -X
1777864605.547309 cmd_parse_build_commands 0:2: start-of-line
1777864605.547311 args_parse_flags: next -X
1777864605.547312 args_parse_flags: -X
1777864605.547313 args_parse_flags: next start-of-line
1777864605.547314 args_parse: flags end at 2 of 3
1777864605.547316 args_parse: 2 = start-of-line (type STRING)
1777864605.547318 cmd_parse_build_commands: send-keys -X start-of-line
1777864605.547319 args_parse_flags: next -Tcopy-mode
1777864605.547320 args_parse_flag_argument: -T = copy-mode
1777864605.547322 args_parse_flags: next Home
1777864605.547323 args_parse: flags end at 2 of 4
1777864605.547324 args_parse: 2 = Home (type STRING)
1777864605.547326 args_parse: 3 = send-keys -X start-of-line (type COMMANDS)
1777864605.547329 cmd_parse_build_commands: bind-key -T copy-mode Home { send-keys -X start-of-line }
1777864605.547330 cmdq_get_command: [bind-key/0x5a432ded0990] group 1559
1777864605.547332 cmdq_append <global>: [bind-key/0x5a432ded0990]
1777864605.547334 yylex_token: end at WS
1777864605.547335 yylex_token: bind
1777864605.547336 yylex_token: end at WS
1777864605.547337 yylex_token: -Tcopy-mode
1777864605.547338 yylex_token: end at WS
1777864605.547340 yylex_token: End
1777864605.547341 yylex_token: end at WS
1777864605.547342 yylex_token: send
1777864605.547343 yylex_token: end at WS
1777864605.547344 yylex_token: -X
1777864605.547345 yylex_token: end at WS
1777864605.547347 yylex_token: end-of-line
1777864605.547348 cmd_parse_build_commands 0:0: bind
1777864605.547349 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547351 cmd_parse_build_commands 0:2: End
1777864605.547352 cmd_parse_build_commands 0:3 0:0: send
1777864605.547353 cmd_parse_build_commands 0:3 0:1: -X
1777864605.547354 cmd_parse_build_commands 0:3 0:2: end-of-line
1777864605.547356 cmd_parse_build_commands 0:0: send
1777864605.547359 cmd_parse_build_commands 0:1: -X
1777864605.547360 cmd_parse_build_commands 0:2: end-of-line
1777864605.547362 args_parse_flags: next -X
1777864605.547364 args_parse_flags: -X
1777864605.547365 args_parse_flags: next end-of-line
1777864605.547366 args_parse: flags end at 2 of 3
1777864605.547367 args_parse: 2 = end-of-line (type STRING)
1777864605.547369 cmd_parse_build_commands: send-keys -X end-of-line
1777864605.547370 args_parse_flags: next -Tcopy-mode
1777864605.547372 args_parse_flag_argument: -T = copy-mode
1777864605.547373 args_parse_flags: next End
1777864605.547374 args_parse: flags end at 2 of 4
1777864605.547375 args_parse: 2 = End (type STRING)
1777864605.547377 args_parse: 3 = send-keys -X end-of-line (type COMMANDS)
1777864605.547380 cmd_parse_build_commands: bind-key -T copy-mode End { send-keys -X end-of-line }
1777864605.547381 cmdq_get_command: [bind-key/0x5a432ded0fe0] group 1567
1777864605.547383 cmdq_append <global>: [bind-key/0x5a432ded0fe0]
1777864605.547385 yylex_token: end at WS
1777864605.547386 yylex_token: bind
1777864605.547387 yylex_token: end at WS
1777864605.547388 yylex_token: -Tcopy-mode
1777864605.547390 yylex_token: end at WS
1777864605.547391 yylex_token: MouseDown1Pane
1777864605.547392 yylex_token: end at EOF
1777864605.547393 yylex_token: select-pane
1777864605.547395 cmd_parse_build_commands 0:0: bind
1777864605.547396 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547397 cmd_parse_build_commands 0:2: MouseDown1Pane
1777864605.547398 cmd_parse_build_commands 0:3: select-pane
1777864605.547400 args_parse_flags: next -Tcopy-mode
1777864605.547401 args_parse_flag_argument: -T = copy-mode
1777864605.547402 args_parse_flags: next MouseDown1Pane
1777864605.547404 args_parse: flags end at 2 of 4
1777864605.547405 args_parse: 2 = MouseDown1Pane (type STRING)
1777864605.547406 args_parse: 3 = select-pane (type STRING)
1777864605.547409 cmd_parse_build_commands: bind-key -T copy-mode MouseDown1Pane select-pane
1777864605.547410 cmdq_get_command: [bind-key/0x5a432ded12a0] group 1575
1777864605.547412 cmdq_append <global>: [bind-key/0x5a432ded12a0]
1777864605.547415 yylex_token: end at WS
1777864605.547416 yylex_token: bind
1777864605.547417 yylex_token: end at WS
1777864605.547418 yylex_token: -Tcopy-mode
1777864605.547420 yylex_token: end at WS
1777864605.547421 yylex_token: MouseDrag1Pane
1777864605.547422 yylex_token: end at ;
1777864605.547423 yylex_token: select-pane
1777864605.547425 yylex_token: end at WS
1777864605.547426 yylex_token: send
1777864605.547427 yylex_token: end at WS
1777864605.547428 yylex_token: -X
1777864605.547429 yylex_token: end at WS
1777864605.547431 yylex_token: begin-selection
1777864605.547432 cmd_parse_build_commands 0:0: bind
1777864605.547434 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547435 cmd_parse_build_commands 0:2: MouseDrag1Pane
1777864605.547436 cmd_parse_build_commands 0:3 0:0: select-pane
1777864605.547437 cmd_parse_build_commands 0:3 1:0: send
1777864605.547439 cmd_parse_build_commands 0:3 1:1: -X
1777864605.547440 cmd_parse_build_commands 0:3 1:2: begin-selection
1777864605.547441 cmd_parse_build_commands 0:0: select-pane
1777864605.547443 cmd_parse_build_commands 1:0: send
1777864605.547444 cmd_parse_build_commands 1:1: -X
1777864605.547445 cmd_parse_build_commands 1:2: begin-selection
1777864605.547447 args_parse: flags end at 1 of 1
1777864605.547449 args_parse_flags: next -X
1777864605.547450 args_parse_flags: -X
1777864605.547452 args_parse_flags: next begin-selection
1777864605.547453 args_parse: flags end at 2 of 3
1777864605.547454 args_parse: 2 = begin-selection (type STRING)
1777864605.547456 cmd_parse_build_commands: select-pane ; send-keys -X begin-selection
1777864605.547458 args_parse_flags: next -Tcopy-mode
1777864605.547459 args_parse_flag_argument: -T = copy-mode
1777864605.547460 args_parse_flags: next MouseDrag1Pane
1777864605.547461 args_parse: flags end at 2 of 4
1777864605.547462 args_parse: 2 = MouseDrag1Pane (type STRING)
1777864605.547464 args_parse: 3 = select-pane ; send-keys -X begin-selection (type COMMANDS)
1777864605.547470 cmd_parse_build_commands: bind-key -T copy-mode MouseDrag1Pane { select-pane ; send-keys -X begin-selection }
1777864605.547471 cmdq_get_command: [bind-key/0x5a432ded1d00] group 1579
1777864605.547473 cmdq_append <global>: [bind-key/0x5a432ded1d00]
1777864605.547475 yylex_token: end at WS
1777864605.547476 yylex_token: bind
1777864605.547477 yylex_token: end at WS
1777864605.547478 yylex_token: -Tcopy-mode
1777864605.547480 yylex_token: end at WS
1777864605.547481 yylex_token: MouseDragEnd1Pane
1777864605.547482 yylex_token: end at WS
1777864605.547483 yylex_token: send
1777864605.547484 yylex_token: end at WS
1777864605.547485 yylex_token: -X
1777864605.547487 yylex_token: end at WS
1777864605.547488 yylex_token: copy-pipe-and-cancel
1777864605.547490 cmd_parse_build_commands 0:0: bind
1777864605.547491 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547492 cmd_parse_build_commands 0:2: MouseDragEnd1Pane
1777864605.547493 cmd_parse_build_commands 0:3 0:0: send
1777864605.547495 cmd_parse_build_commands 0:3 0:1: -X
1777864605.547496 cmd_parse_build_commands 0:3 0:2: copy-pipe-and-cancel
1777864605.547497 cmd_parse_build_commands 0:0: send
1777864605.547499 cmd_parse_build_commands 0:1: -X
1777864605.547500 cmd_parse_build_commands 0:2: copy-pipe-and-cancel
1777864605.547502 args_parse_flags: next -X
1777864605.547503 args_parse_flags: -X
1777864605.547504 args_parse_flags: next copy-pipe-and-cancel
1777864605.547506 args_parse: flags end at 2 of 3
1777864605.547507 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1777864605.547509 cmd_parse_build_commands: send-keys -X copy-pipe-and-cancel
1777864605.547510 args_parse_flags: next -Tcopy-mode
1777864605.547512 args_parse_flag_argument: -T = copy-mode
1777864605.547513 args_parse_flags: next MouseDragEnd1Pane
1777864605.547514 args_parse: flags end at 2 of 4
1777864605.547516 args_parse: 2 = MouseDragEnd1Pane (type STRING)
1777864605.547517 args_parse: 3 = send-keys -X copy-pipe-and-cancel (type COMMANDS)
1777864605.547521 cmd_parse_build_commands: bind-key -T copy-mode MouseDragEnd1Pane { send-keys -X copy-pipe-and-cancel }
1777864605.547522 cmdq_get_command: [bind-key/0x5a432ded2040] group 1588
1777864605.547524 cmdq_append <global>: [bind-key/0x5a432ded2040]
1777864605.547525 yylex_token: end at WS
1777864605.547526 yylex_token: bind
1777864605.547528 yylex_token: end at WS
1777864605.547529 yylex_token: -Tcopy-mode
1777864605.547531 yylex_token: end at WS
1777864605.547533 yylex_token: WheelUpPane
1777864605.547534 yylex_token: end at ;
1777864605.547536 yylex_token: select-pane
1777864605.547538 yylex_token: end at WS
1777864605.547540 yylex_token: send
1777864605.547542 yylex_token: end at WS
1777864605.547543 yylex_token: -N5
1777864605.547545 yylex_token: end at WS
1777864605.547547 yylex_token: -X
1777864605.547549 yylex_token: end at WS
1777864605.547550 yylex_token: scroll-up
1777864605.547553 cmd_parse_build_commands 0:0: bind
1777864605.547556 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547557 cmd_parse_build_commands 0:2: WheelUpPane
1777864605.547559 cmd_parse_build_commands 0:3 0:0: select-pane
1777864605.547561 cmd_parse_build_commands 0:3 1:0: send
1777864605.547562 cmd_parse_build_commands 0:3 1:1: -N5
1777864605.547564 cmd_parse_build_commands 0:3 1:2: -X
1777864605.547566 cmd_parse_build_commands 0:3 1:3: scroll-up
1777864605.547568 cmd_parse_build_commands 0:0: select-pane
1777864605.547569 cmd_parse_build_commands 1:0: send
1777864605.547571 cmd_parse_build_commands 1:1: -N5
1777864605.547573 cmd_parse_build_commands 1:2: -X
1777864605.547574 cmd_parse_build_commands 1:3: scroll-up
1777864605.547577 args_parse: flags end at 1 of 1
1777864605.547580 args_parse_flags: next -N5
1777864605.547582 args_parse_flag_argument: -N = 5
1777864605.547583 args_parse_flags: next -X
1777864605.547585 args_parse_flags: -X
1777864605.547586 args_parse_flags: next scroll-up
1777864605.547588 args_parse: flags end at 3 of 4
1777864605.547590 args_parse: 3 = scroll-up (type STRING)
1777864605.547594 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-up
1777864605.547600 args_parse_flags: next -Tcopy-mode
1777864605.547601 args_parse_flag_argument: -T = copy-mode
1777864605.547602 args_parse_flags: next WheelUpPane
1777864605.547603 args_parse: flags end at 2 of 4
1777864605.547604 args_parse: 2 = WheelUpPane (type STRING)
1777864605.547607 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-up (type COMMANDS)
1777864605.547610 cmd_parse_build_commands: bind-key -T copy-mode WheelUpPane { select-pane ; send-keys -X -N 5 scroll-up }
1777864605.547612 cmdq_get_command: [bind-key/0x5a432ded28b0] group 1596
1777864605.547613 cmdq_append <global>: [bind-key/0x5a432ded28b0]
1777864605.547617 yylex_token: end at WS
1777864605.547619 yylex_token: bind
1777864605.547620 yylex_token: end at WS
1777864605.547621 yylex_token: -Tcopy-mode
1777864605.547623 yylex_token: end at WS
1777864605.547624 yylex_token: WheelDownPane
1777864605.547625 yylex_token: end at ;
1777864605.547626 yylex_token: select-pane
1777864605.547628 yylex_token: end at WS
1777864605.547629 yylex_token: send
1777864605.547630 yylex_token: end at WS
1777864605.547631 yylex_token: -N5
1777864605.547632 yylex_token: end at WS
1777864605.547633 yylex_token: -X
1777864605.547635 yylex_token: end at WS
1777864605.547636 yylex_token: scroll-down
1777864605.547637 cmd_parse_build_commands 0:0: bind
1777864605.547638 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547640 cmd_parse_build_commands 0:2: WheelDownPane
1777864605.547641 cmd_parse_build_commands 0:3 0:0: select-pane
1777864605.547642 cmd_parse_build_commands 0:3 1:0: send
1777864605.547644 cmd_parse_build_commands 0:3 1:1: -N5
1777864605.547645 cmd_parse_build_commands 0:3 1:2: -X
1777864605.547646 cmd_parse_build_commands 0:3 1:3: scroll-down
1777864605.547648 cmd_parse_build_commands 0:0: select-pane
1777864605.547649 cmd_parse_build_commands 1:0: send
1777864605.547650 cmd_parse_build_commands 1:1: -N5
1777864605.547651 cmd_parse_build_commands 1:2: -X
1777864605.547652 cmd_parse_build_commands 1:3: scroll-down
1777864605.547655 args_parse: flags end at 1 of 1
1777864605.547657 args_parse_flags: next -N5
1777864605.547658 args_parse_flag_argument: -N = 5
1777864605.547659 args_parse_flags: next -X
1777864605.547660 args_parse_flags: -X
1777864605.547661 args_parse_flags: next scroll-down
1777864605.547663 args_parse: flags end at 3 of 4
1777864605.547664 args_parse: 3 = scroll-down (type STRING)
1777864605.547667 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-down
1777864605.547668 args_parse_flags: next -Tcopy-mode
1777864605.547669 args_parse_flag_argument: -T = copy-mode
1777864605.547670 args_parse_flags: next WheelDownPane
1777864605.547672 args_parse: flags end at 2 of 4
1777864605.547673 args_parse: 2 = WheelDownPane (type STRING)
1777864605.547675 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-down (type COMMANDS)
1777864605.547678 cmd_parse_build_commands: bind-key -T copy-mode WheelDownPane { select-pane ; send-keys -X -N 5 scroll-down }
1777864605.547680 cmdq_get_command: [bind-key/0x5a432ded3010] group 1605
1777864605.547681 cmdq_append <global>: [bind-key/0x5a432ded3010]
1777864605.547684 yylex_token: end at WS
1777864605.547685 yylex_token: bind
1777864605.547686 yylex_token: end at WS
1777864605.547687 yylex_token: -Tcopy-mode
1777864605.547689 yylex_token: end at WS
1777864605.547690 yylex_token: DoubleClick1Pane
1777864605.547691 yylex_token: end at ;
1777864605.547693 yylex_token: select-pane
1777864605.547694 yylex_token: end at WS
1777864605.547695 yylex_token: send
1777864605.547696 yylex_token: end at WS
1777864605.547697 yylex_token: -X
1777864605.547699 yylex_token: end at ;
1777864605.547700 yylex_token: select-word
1777864605.547701 yylex_token: end at WS
1777864605.547702 yylex_token: run
1777864605.547703 yylex_token: end at ;
1777864605.547705 yylex_token: -d0.3
1777864605.547706 yylex_token: end at WS
1777864605.547707 yylex_token: send
1777864605.547708 yylex_token: end at WS
1777864605.547709 yylex_token: -X
1777864605.547711 yylex_token: end at WS
1777864605.547714 yylex_token: copy-pipe-and-cancel
1777864605.547715 cmd_parse_build_commands 0:0: bind
1777864605.547717 cmd_parse_build_commands 0:1: -Tcopy-mode
1777864605.547718 cmd_parse_build_commands 0:2: DoubleClick1Pane
1777864605.547719 cmd_parse_build_commands 0:3 0:0: select-pane
1777864605.547721 cmd_parse_build_commands 0:3 1:0: send
1777864605.547722 cmd_parse_build_commands 0:3 1:1: -X
1777864605.547723 cmd_parse_build_commands 0:3 1:2: select-word
1777864605.547724 cmd_parse_build_commands 0:3 2:0: run
1777864605.547726 cmd_parse_build_commands 0:3 2:1: -d0.3
1777864605.547727 cmd_parse_build_commands 0:3 3:0: send
1777864605.547728 cmd_parse_build_commands 0:3 3:1: -X
1777864605.547729 cmd_parse_build_commands 0:3 3:2: copy-pipe-and-cancel
1777864605.547731 cmd_parse_build_commands 0:0: select-pane
1777864605.547732 cmd_parse_build_commands 1:0: send
1777864605.547733 cmd_parse_build_commands 1:1: -X
1777864605.547735 cmd_parse_build_commands 1:2: select-word
1777864605.547736 cmd_parse_build_commands 2:0: run
1777864605.547737 cmd_parse_build_commands 2:1: -d0.3
1777864605.547738 cmd_parse_build_commands 3:0: send
1777864605.547740 cmd_parse_build_commands 3:1: -X
1777864605.547741 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1777864605.547743 args_parse: flags end at 1 of 1
1777864605.547745 args_parse_flags: next -X
1777864605.547746 args_parse_flags: -X
1777864605.547747 args_parse_flags: next select-word
1777864605.547749 args_parse: flags end at 2 of 3
1777864605.547750 args_parse: 2 = select-word (type STRING)
1777864605.547752 args_parse_flags: next -d0.3
1777864605.547753 args_parse_flag_argument: -d = 0.3
1777864605.547754 args_parse: flags end at 2 of 2
1777864605.547756 args_parse_flags: next -X
1777864605.547757 args_parse_flags: -X
1777864605.547759 args_parse_flags: next copy-pipe-and-cancel
1777864605.547760 args_parse: flags end at 2 of 3
1777864605.547761 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1777864605.547765 cmd_parse_build_commands: select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1777864605.547766 args_parse_flags: next -Tcopy-mode
1777864605.547767 args_parse_flag_argument: -T = copy-mode
1777864605.547768 args_parse_flags: next DoubleClick1Pane
1777864605.547770 args_parse: flags end at 2 of 4
1777864605.547771 args_parse: 2 = DoubleClick1Pane (type STRING)
1777864605.547774 args_parse: 3 = select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1777864605.547780 cmd_parse_build_commands: bind-key -T copy-mode DoubleClick1Pane { select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1777864605.547782 cmdq_get_command: [bind-key/0x5a432ded3de0] group 1614
1777864605.547783 cmdq_append <global>: [bind-key/0x5a432ded3de0]
1777864605.547786 yylex_token: end at WS
1777864605.547787 yylex_token: bind
1777864605.547788 yylex_token: end at WS
1777864605.547789 yylex_token: -Tcopy-mode
1777864605.547791 yylex_token: end at WS
1777864605.547792 yylex_token: TripleClick1Pane
1777864605.547794 yylex_token: end at ;
1777864605.547795 yylex_token: select-pane
1777864605.547796 yylex_token: end at WS
1777864605.547797 yylex_token: send
1777864605.547798 yylex_token: end at WS
1777864605.547799 yylex_token: -X
1777864605.547801 yylex_token: end at ;
1777864605.547802 yylex_token: select-line
